start_time,end_time,duration_sec,data_type,music,num_players,result
計測チェック
2025-11-26 15:08:06,2025-11-26 15:08:07,1.153,計測データ,G線上のアリア（ゆっくり）,1,成功
初期データ計測
2025-11-26 15:27:46,2025-11-26 15:28:06,19.348,初期データ,G線上のアリア（ゆっくり）,1,成功

ゆっくりな曲の計測
2025-11-26 15:28:42,2025-11-26 15:30:33,110.921,計測データ,G線上のアリア（ゆっくり）,1,成功
2025-11-26 15:31:28,2025-11-26 15:33:28,119.873,計測データ,G線上のアリア（ゆっくり）,2,成功

速い曲の計測
2025-11-26 15:34:30,2025-11-26 15:35:59,88.603,計測データ,威風堂々：前半（速い）,2,成功
2025-11-26 15:38:28,2025-11-26 (計測失敗 代筆),107.501,計測データ,威風堂々：前半（速い）,1,成功
2025-11-26 15:42:10,2025-11-26 15:42:12,2.542,計測データ,威風堂々：前半（速い）,1,中止

変化のある曲の計測
2025-11-26 15:44:10,2025-11-26 15:45:36,86.153,計測データ,威風堂々：中間部（変化）,2,成功
2025-11-26 15:45:43,2025-11-26 15:47:11,88.276,計測データ,威風堂々：中間部（変化）,1,成功

追加の計測
2025-11-26 15:48:35,2025-11-26 15:50:56,140.525,計測データ,G線上のアリア（ゆっくり）,2,成功
センサが落ちたので初期データの再計測
2025-11-26 15:52:44,2025-11-26 15:53:07,22.528,初期データ,G線上のアリア（ゆっくり）,2,成功
2025-11-26 15:53:13,2025-11-26 15:55:03,110.262,計測データ,威風堂々：前半（速い）,2,成功